book,chapter,verse,entity,label
,5,30,Lamech,ORG
,5,30,Noah,PERSON
,5,30,five hundred ninety and,CARDINAL
,5,31,Lamech,ORG
,5,31,seven hundred seventy and,CARDINAL
,5,32,Noah,PERSON
,5,32,five hundred years old,DATE
,5,32,Noah,PERSON
,5,32,Shem,PERSON
,5,32,Ham,PERSON
,5,32,Japheth,PERSON
,6,1,on,PERSON
,6,3,an hundred and twenty years,CARDINAL
,6,4,those days,DATE
,6,6,on,PERSON
,6,8,Noah,PERSON
,6,9,Noah,PERSON
,6,9,Noah,PERSON
,6,9,Noah,PERSON
,6,10,Noah,PERSON
,6,10,three,CARDINAL
,6,10,"Shem, Ham",PERSON
,6,10,Japheth,PERSON
,6,13,Noah,PERSON
,6,14,ark,PERSON
,6,14,ark,PERSON
,6,15,ark,PERSON
,6,15,three hundred cubits,CARDINAL
,6,15,fifty cubits,CARDINAL
,6,15,thirty cubits,QUANTITY
,6,16,ark,PERSON
,6,16,ark,PERSON
,6,16,second,ORDINAL
,6,16,third,ORDINAL
,6,18,ark,PERSON
,6,19,two,CARDINAL
,6,19,ark,PERSON
,6,20,two,CARDINAL
,6,22,Noah,PERSON
,6,22,so,PERSON
,7,1,Noah,PERSON
,7,1,ark,PERSON
,7,2,two,CARDINAL
,7,4,seven days,DATE
,7,4,forty days,DATE
,7,4,forty nights,DATE
,7,5,Noah,PERSON
,7,6,Noah,PERSON
,7,6,six hundred years old,DATE
,7,7,Noah,PERSON
,7,7,ark,PERSON
,7,9,two,CARDINAL
,7,9,two,CARDINAL
,7,9,Noah,PERSON
,7,9,ark,PERSON
,7,9,Noah,PERSON
,7,10,seven days,DATE
,7,11,the six hundredth year,DATE
,7,11,Noah,PERSON
,7,11,the second month,DATE
,7,11,the seventeenth day of the month,DATE
,7,11,the same day,DATE
,7,12,forty days,DATE
,7,12,forty nights,DATE
,7,13,the selfsame day entered,DATE
,7,13,Noah,PERSON
,7,13,Shem,PERSON
,7,13,Ham,PERSON
,7,13,Japheth,PERSON
,7,13,Noah,PERSON
,7,13,Noah,PERSON
,7,13,three,CARDINAL
,7,13,ark,PERSON
,7,15,Noah,PERSON
,7,15,ark,PERSON
,7,15,two,CARDINAL
,7,15,two,CARDINAL
,7,17,forty days,DATE
,7,17,ark,PERSON
,7,18,ark,PERSON
,7,20,Fifteen cubits,QUANTITY
,7,23,Noah,PERSON
,7,23,ark,GPE
,7,24,an hundred and fifty days,CARDINAL
,8,1,Noah,PERSON
,8,1,ark,PERSON
,8,4,ark,PERSON
,8,4,the seventh month,DATE
,8,4,on,PERSON
,8,4,the seventeenth day of the month,DATE
,8,4,Ararat,GPE
,8,5,the tenth month,DATE
,8,5,the tenth month,DATE
,8,5,on,PERSON
,8,5,the first day of the month,DATE
,8,6,the end of forty days,DATE
,8,6,Noah,PERSON
,8,6,ark,PERSON
,8,9,ark,PERSON
,8,9,on,PERSON
,8,9,put,PERSON
,8,9,ark,PERSON
,8,10,seven days,DATE
,8,10,ark,PERSON
,8,11,so,PERSON
,8,11,Noah,PERSON
,8,12,seven days,DATE
,8,13,the six hundredth and first year,DATE
,8,13,the first month,DATE
,8,13,the first day of the month,DATE
,8,13,Noah,PERSON
,8,13,ark,PERSON
,8,14,the second month,DATE
,8,14,on,PERSON
,8,14,seven and twentieth day of the month,DATE
,8,15,Noah,PERSON
,8,16,ark,PERSON
,8,18,Noah,PERSON
,8,19,ark,PERSON
,8,20,Noah,PERSON
,8,20,on,PERSON
,8,22,summer,DATE
,9,1,Noah,PERSON
,9,8,Noah,PERSON
,9,10,ark,PERSON
,9,17,Noah,PERSON
,9,18,Noah,PERSON
,9,18,ark,PERSON
,9,18,Shem,PERSON
,9,18,Ham,PERSON
,9,18,Japheth,PERSON
,9,18,Ham,PERSON
,9,18,Canaan,GPE
,9,19,three,CARDINAL
,9,19,Noah,PERSON
,9,20,Noah,PERSON
,9,22,Ham,PERSON
,9,22,Canaan,GPE
,9,22,two,CARDINAL
,9,23,Shem,PERSON
,9,23,Japheth,PERSON
,9,24,Noah,PERSON
,9,25,Canaan,GPE
,9,26,Blessed,PERSON
,9,26,Shem,PERSON
,9,26,Canaan,GPE
,9,27,Japheth,PERSON
,9,27,Shem,PERSON
,9,27,Canaan,GPE
,9,28,Noah,PERSON
,9,28,three hundred and fifty years,CARDINAL
,9,29,Noah,PERSON
,9,29,nine hundred and fifty years,CARDINAL
,10,1,Noah,PERSON
,10,1,Shem,PERSON
,10,1,Ham,PERSON
,10,1,Japheth,PERSON
,10,2,Japheth,PERSON
,10,2,Gomer,PERSON
,10,2,Magog,GPE
,10,2,Madai,ORG
,10,2,Javan,PERSON
,10,2,Tubal,FAC
,10,2,Meshech,ORG
,10,2,Tiras,PERSON
,10,3,Gomer,PERSON
,10,3,Ashkenaz,PERSON
,10,3,Riphath,ORG
,10,3,Togarmah,ORG
,10,4,Javan,PERSON
,10,4,Elishah,PERSON
,10,4,Tarshish,PERSON
,10,4,Kittim,PERSON
,10,4,Dodanim,PERSON
,10,5,Gentiles,ORG
,10,6,Ham,PERSON
,10,6,Cush,PERSON
,10,6,Mizraim,PERSON
,10,6,Phut,ORG
,10,6,Canaan,GPE
,10,7,Cush,PERSON
,10,7,Seba,PERSON
,10,7,Havilah,ORG
,10,7,Sabtah,ORG
,10,7,Raamah,ORG
,10,7,Sabtechah,PERSON
,10,7,Raamah,ORG
,10,7,Sheba,PERSON
,10,7,Dedan,PERSON
,10,8,Cush,PERSON
,10,8,Nimrod,PERSON
,10,9,Nimrod,ORG
,10,10,Babel,PERSON
,10,10,Erech,PERSON
,10,10,Accad,PERSON
,10,10,Calneh,PERSON
,10,10,Shinar,ORG
,10,11,Asshur,ORG
,10,11,Nineveh,GPE
,10,11,Rehoboth,GPE
,10,11,Calah,ORG
,10,12,Resen,PERSON
,10,12,Nineveh,PERSON
,10,12,Calah,ORG
,10,13,Mizraim,PERSON
,10,13,Ludim,ORG
,10,13,Anamim,PERSON
,10,13,Lehabim,ORG
,10,13,Naphtuhim,ORG
,10,14,Pathrusim,PERSON
,10,14,Casluhim,ORG
,10,14,Philistim,PERSON
,10,14,Caphtorim,ORG
,10,15,Canaan,GPE
,10,15,Sidon,PERSON
,10,15,first,ORDINAL
,10,15,Heth,PERSON
,10,16,Amorite,PERSON
,10,16,Girgasite,PERSON
,10,17,Hivite,PERSON
,10,17,Arkite,PRODUCT
,10,17,Sinite,PERSON
,10,18,Arvadite,PRODUCT
,10,18,Zemarite,NORP
,10,18,Canaanites,NORP
,10,19,Canaanites,ORG
,10,19,Sidon,GPE
,10,19,Gerar,PERSON
,10,19,Gaza,GPE
,10,19,Sodom,GPE
,10,19,Gomorrah,PERSON
,10,19,Admah,GPE
,10,19,Zeboim,ORG
,10,19,Lasha,PERSON
,10,20,Ham,PERSON
,10,21,Shem,PERSON
,10,21,Eber,PERSON
,10,21,Japheth,PERSON
,10,22,Shem,PERSON
,10,22,Elam,PERSON
,10,22,Asshur,ORG
,10,22,Arphaxad,ORG
,10,22,Lud,PERSON
,10,22,Aram,PERSON
,10,23,Aram,PERSON
,10,23,Uz,PERSON
,10,23,Hul,PERSON
,10,23,Gether,PERSON
,10,23,Mash,PERSON
,10,24,Arphaxad,PERSON
,10,24,Salah,PERSON
,10,24,Salah,PERSON
,10,24,Eber,PERSON
,10,25,Eber,PERSON
,10,25,two,CARDINAL
,10,25,one,CARDINAL
,10,25,Peleg,PERSON
,10,25,his days,DATE
,10,25,Joktan,GPE
,10,26,Joktan,PERSON
,10,26,Almodad,PERSON
,10,26,Sheleph,PERSON
,10,26,Hazarmaveth,ORG
,10,26,Jerah,PERSON
,10,27,Hadoram,PERSON
,10,27,Uzal,GPE
,10,27,Diklah,GPE
,10,28,Obal,PERSON
,10,28,Abimael,PERSON
,10,28,Sheba,PERSON
,10,29,Ophir,GPE
,10,29,Havilah,ORG
,10,29,Jobab,PERSON
,10,29,Joktan,GPE
,10,30,Mesha,PERSON
,10,31,Shem,PERSON
,10,32,Noah,PERSON
,11,1,one,CARDINAL
,11,1,one,CARDINAL
,11,2,Shinar,ORG
,11,3,one,CARDINAL
,11,6,Behold,PERSON
,11,8,So,PERSON
,11,9,Babel,PERSON
,11,10,Shem,PERSON
,11,10,Shem,PERSON
,11,10,an hundred years old,DATE
,11,10,Arphaxad,ORG
,11,10,two years,DATE
,11,11,Shem,PERSON
,11,11,Arphaxad,ORG
,11,11,five hundred years,DATE
,11,12,Arphaxad,ORG
,11,12,five and thirty years,DATE
,11,12,Salah,PERSON
,11,13,Arphaxad,PERSON
,11,13,four hundred and three years,DATE
,11,14,Salah,PERSON
,11,14,thirty years,DATE
,11,14,Eber,PERSON
,11,15,Salah,PERSON
,11,15,Eber,PERSON
,11,15,four hundred and three years,CARDINAL
,11,16,Eber,PERSON
,11,16,four and thirty years,DATE
,11,16,Peleg,PERSON
,11,17,Eber,PERSON
,11,17,Peleg,PERSON
,11,17,four hundred and thirty years,CARDINAL
,11,18,Peleg,PERSON
,11,18,thirty years,DATE
,11,18,Reu,PERSON
,11,19,Peleg,PERSON
,11,19,Reu,PERSON
,11,19,two hundred and nine years,CARDINAL
,11,20,Reu,PERSON
,11,20,two and thirty years,DATE
,11,20,Serug,PERSON
,11,21,Reu,PERSON
,11,21,Serug two hundred and seven years,LAW
,11,22,Serug,PERSON
,11,22,thirty years,DATE
,11,22,Nahor,PERSON
,11,23,Serug,PERSON
,11,23,Nahor,PERSON
,11,23,two hundred years,DATE
,11,24,Nahor,GPE
,11,24,nine and twenty years,DATE
,11,24,Terah,PERSON
,11,25,Nahor,GPE
,11,25,Terah,PERSON
,11,25,an hundred and nineteen years,CARDINAL
,11,26,Terah,PERSON
,11,26,seventy years,DATE
,11,26,Abram,PERSON
,11,26,Nahor,GPE
,11,26,Haran,PERSON
,11,27,Terah,PERSON
,11,27,Terah,PERSON
,11,27,Abram,PERSON
,11,27,Nahor,GPE
,11,27,Haran,PERSON
,11,27,Haran begat Lot,PRODUCT
,11,28,Haran,PERSON
,11,28,Terah,PERSON
,11,28,Chaldees,ORG
,11,29,Abram,PERSON
,11,29,Nahor,PERSON
,11,29,Abram,PERSON
,11,29,Sarai,PERSON
,11,29,Nahor,ORG
,11,29,Milcah,PERSON
,11,29,daughter,PERSON
,11,29,Haran,PERSON
,11,29,Milcah,PERSON
,11,29,Iscah,PERSON
,11,30,Sarai,PERSON
,11,31,Terah,PERSON
,11,31,Abram,PERSON
,11,31,Lot,PERSON
,11,31,Haran,PERSON
,11,31,Sarai,PERSON
,11,31,daughter,PERSON
,11,31,Abram,PERSON
,11,31,Chaldees,ORG
,11,31,Canaan,GPE
,11,31,Haran,PERSON
,11,32,the days,DATE
,11,32,Terah,ORG
,11,32,two hundred and,CARDINAL
,11,32,Terah,PERSON
,11,32,Haran,PERSON
,12,1,Abram,PERSON
,12,4,So,PERSON
,12,4,Abram,PERSON
,12,4,Lot,PERSON
,12,4,Abram,PERSON
,12,4,five years old,DATE
,12,4,Haran,PERSON
,12,5,Abram,PERSON
,12,5,Sarai,PERSON
,12,5,Lot,PERSON
,12,5,Haran,PERSON
,12,5,Canaan,GPE
,12,5,Canaan,GPE
,12,6,Abram,PERSON
,12,6,Sichem,ORG
,12,6,Moreh,PRODUCT
,12,6,Canaanite,NORP
,12,7,Abram,PERSON
,12,8,on,PERSON
,12,8,Bethel,GPE
,12,8,Bethel,GPE
,12,8,on,PERSON
,12,8,Hai,PERSON
,12,8,on,PERSON
,12,9,Abram,PERSON
,12,9,on,PERSON
,12,10,Abram,PERSON
,12,10,Egypt,GPE
,12,11,Egypt,GPE
,12,11,Sarai,PERSON
,12,12,Egyptians,NORP
,12,14,Abram,PERSON
,12,14,Egypt,GPE
,12,14,Egyptians,NORP
,12,15,Pharaoh,PERSON
,12,15,Pharaoh,PERSON
,12,15,Pharaoh,PERSON
,12,16,Abram,PERSON
,12,17,Pharaoh,PERSON
,12,17,Sarai Abram's,PERSON
,12,18,Pharaoh,PERSON
,12,18,Abram,PERSON
,12,19,so,PERSON
,12,20,Pharaoh,PERSON
,13,1,Abram,PERSON
,13,1,Egypt,GPE
,13,1,Lot,PERSON
,13,2,Abram,PERSON
,13,3,on,PERSON
,13,3,Bethel,GPE
,13,3,Bethel,GPE
,13,3,Hai,GPE
,13,4,first,ORDINAL
,13,4,Abram,PERSON
,13,4,on,PERSON
,13,5,Lot,PERSON
,13,5,Abram,PERSON
,13,6,so,PERSON
,13,7,Abram,PERSON
,13,7,Lot's,ORG
,13,7,Canaanite,NORP
,13,7,Perizzite,PERSON
,13,8,Abram,PERSON
,13,8,Lot,PERSON
,13,10,Lot,PERSON
,13,10,Jordan,GPE
,13,10,Sodom,GPE
,13,10,Gomorrah,GPE
,13,10,Egypt,GPE
,13,10,Zoar,GPE
,13,11,Lot,PERSON
,13,11,Jordan,GPE
,13,11,Lot,PERSON
,13,12,Abram,PERSON
,13,12,Canaan,GPE
,13,12,Lot,PERSON
,13,12,Sodom,GPE
,13,13,Sodom,GPE
,13,14,Abram,PERSON
,13,14,Lot,PERSON
,13,16,so,PERSON
,13,18,Abram,PERSON
,13,18,Mamre,ORG
,13,18,Hebron,GPE
,14,1,the days,DATE
,14,1,Amraphel,NORP
,14,1,Shinar,NORP
,14,1,Arioch,PERSON
,14,1,Ellasar,PERSON
,14,1,Chedorlaomer,PERSON
,14,1,Elam,ORG
,14,1,Tidal,ORG
,14,2,Bera,GPE
,14,2,Sodom,GPE
,14,2,Birsha,NORP
,14,2,Gomorrah,GPE
,14,2,Shinab,GPE
,14,2,Admah,GPE
,14,2,Shemeber,PERSON
,14,2,Zeboiim,PERSON
,14,2,Bela,PERSON
,14,2,Zoar,GPE
,14,3,Siddim,PERSON
,14,4,Twelve years,DATE
,14,4,Chedorlaomer,PERSON
,14,4,the thirteenth year,DATE
,14,5,the fourteenth year,DATE
,14,5,Chedorlaomer,PERSON
,14,5,Rephaims,ORG
,14,5,Ashteroth Karnaim,PERSON
,14,5,Ham,PERSON
,14,5,Shaveh Kiriathaim,FAC
,14,6,Horites,FAC
,14,6,Seir,PERSON
,14,6,Elparan,PERSON
,14,7,Enmishpat,PERSON
,14,7,Kadesh,ORG
,14,7,Amalekites,GPE
,14,7,Amorites,ORG
,14,7,Hazezontamar,GPE
,14,8,Sodom,GPE
,14,8,Gomorrah,GPE
,14,8,Admah,GPE
,14,8,Zeboiim,PERSON
,14,8,Bela,PERSON
,14,8,Zoar,GPE
,14,8,Siddim,PERSON
,14,9,Chedorlaomer,PERSON
,14,9,Elam,ORG
,14,9,Tidal,LOC
,14,9,Amraphel,NORP
,14,9,Shinar,ORG
,14,9,Arioch,PERSON
,14,9,Ellasar,ORG
,14,9,four,CARDINAL
,14,9,five,CARDINAL
,14,10,Siddim,PERSON
,14,10,Sodom,GPE
,14,10,Gomorrah,GPE
,14,11,Sodom,GPE
,14,11,Gomorrah,GPE
,14,12,Lot,PERSON
,14,12,Abram,PERSON
,14,12,Sodom,GPE
,14,13,Abram,PERSON
,14,13,Hebrew,NORP
,14,13,Mamre the Amorite,LOC
,14,13,Eshcol,LOC
,14,13,Aner,PERSON
,14,13,Abram,PERSON
,14,14,Abram,PERSON
,14,14,three hundred and eighteen,CARDINAL
,14,14,Dan,PERSON
,14,15,night,TIME
,14,15,Hobah,PERSON
,14,15,on,PERSON
,14,15,Damascus,GPE
,14,16,Lot,PERSON
,14,17,Sodom,GPE
,14,17,Chedorlaomer,PERSON
,14,17,Shaveh,GPE
,14,18,Melchizedek,PERSON
,14,18,Salem,GPE
,14,19,Blessed,PERSON
,14,19,Abram,PERSON
,14,21,Sodom,GPE
,14,21,Abram,PERSON
,14,22,Abram,PERSON
,14,22,Sodom,GPE
,14,23,Abram,PERSON
,14,24,Aner,PERSON
,14,24,Eshcol,LOC
,14,24,Mamre,ORG
,15,1,Abram,PERSON
,15,1,Abram,PERSON
,15,2,Abram,PERSON
,15,2,God,PERSON
,15,2,Eliezer,PERSON
,15,2,Damascus,GPE
,15,3,Abram,PERSON
,15,3,Behold,PERSON
,15,3,one,CARDINAL
,15,5,So,PERSON
,15,7,Chaldees,ORG
,15,8,God,PERSON
,15,9,three years old,DATE
,15,9,three years old,DATE
,15,9,ram,PERSON
,15,9,three years old,DATE
,15,11,Abram,PERSON
,15,12,Abram,PERSON
,15,13,Abram,PERSON
,15,13,four hundred years,DATE
,15,16,fourth,ORDINAL
,15,16,Amorites,ORG
,15,18,the same day,DATE
,15,18,Abram,PERSON
,15,18,Egypt,GPE
,15,18,Euphrates,LOC
,15,19,Kenizzites,GPE
,15,19,Kadmonites,LOC
,15,20,Hittites,NORP
,15,20,Perizzites,FAC
,15,20,Rephaims,ORG
,15,21,Amorites,ORG
,15,21,Canaanites,ORG
,15,21,Girgashites,EVENT
,15,21,Jebusites,LOC
,16,1,Sarai Abram's,PERSON
,16,1,Egyptian,NORP
,16,1,Hagar,PERSON
,16,2,Sarai,PERSON
,16,2,Abram,PERSON
,16,2,Abram,PERSON
,16,2,Sarai,PERSON
,16,3,Sarai Abram's,PERSON
,16,3,Hagar,PERSON
,16,3,Egyptian,NORP
,16,3,Abram,PERSON
,16,3,ten years,DATE
,16,3,Canaan,GPE
,16,3,Abram,PERSON
,16,4,Hagar,PERSON
,16,5,Sarai,PERSON
,16,5,Abram,PERSON
,16,6,Abram,PERSON
,16,6,Sarai,PERSON
,16,6,Sarai,PERSON
,16,7,Shur,PERSON
,16,8,Hagar,PERSON
,16,8,Sarai,PERSON
,16,8,whence camest,PERSON
,16,8,Sarai,PERSON
,16,11,Behold,PERSON
,16,11,Ishmael,PERSON
,16,13,seeth,PERSON
,16,14,Beerlahairoi,GPE
,16,14,Kadesh and Bered,ORG
,16,15,Hagar bare Abram,PERSON
,16,15,Abram,PERSON
,16,15,Hagar,PERSON
,16,15,Ishmael,PERSON
,16,16,Abram,PERSON
,16,16,six years old,DATE
,16,16,Hagar,PERSON
,16,16,Ishmael,PERSON
,16,16,Abram,PERSON
,17,1,Abram,PERSON
,17,1,ninety years old,DATE
,17,1,nine,CARDINAL
,17,1,Abram,PERSON
,17,3,Abram,PERSON
,17,3,on,PERSON
,17,5,Abram,PERSON
,17,5,Abraham,PERSON
,17,8,Canaan,GPE
,17,9,Abraham,PERSON
,17,12,eight days old,DATE
,17,15,Abraham,PERSON
,17,15,Sarai,PERSON
,17,15,Sarai,PERSON
,17,15,Sarah,PERSON
,17,17,Abraham,PERSON
,17,17,an hundred years old,DATE
,17,17,Sarah,PERSON
,17,17,ninety years old,DATE
,17,18,Abraham,PERSON
,17,18,Ishmael,PERSON
,17,19,Sarah,PERSON
,17,19,Isaac,PERSON
,17,20,Ishmael,PERSON
,17,20,twelve,CARDINAL
,17,21,Isaac,PERSON
,17,21,Sarah,PERSON
,17,21,the next year,DATE
,17,22,Abraham,PERSON
,17,23,Abraham,PERSON
,17,23,Ishmael,PERSON
,17,23,Abraham,PERSON
,17,23,the selfsame day,DATE
,17,24,Abraham,PERSON
,17,24,ninety years old,DATE
,17,24,nine,CARDINAL
,17,25,Ishmael,PERSON
,17,25,thirteen years old,DATE
,17,26,the selfsame day,DATE
,17,26,Abraham,PERSON
,17,26,Ishmael,PERSON
,18,1,Mamre,LOC
,18,1,the day,DATE
,18,2,three,CARDINAL
,18,5,on,PERSON
,18,5,So,PERSON
,18,6,Abraham,PERSON
,18,6,Sarah,PERSON
,18,6,three,CARDINAL
,18,7,Abraham,PERSON
,18,9,Sarah,PERSON
,18,9,Behold,PERSON
,18,10,Sarah,PERSON
,18,10,Sarah,PERSON
,18,11,Abraham,PERSON
,18,11,Sarah,PERSON
,18,11,Sarah,PERSON
,18,12,Sarah,PERSON
,18,13,Abraham,PERSON
,18,13,Sarah,PERSON
,18,14,Sarah,PERSON
,18,15,Sarah,PERSON
,18,15,Nay,PERSON
,18,16,Sodom,GPE
,18,16,Abraham,PERSON
,18,16,on,PERSON
,18,17,Abraham,PERSON
,18,18,Abraham,PERSON
,18,19,Abraham,PERSON
,18,20,Sodom,GPE
,18,20,Gomorrah,GPE
,18,22,Sodom,GPE
,18,22,Abraham,PERSON
,18,23,Abraham,PERSON
,18,24,fifty,CARDINAL
,18,24,fifty,CARDINAL
,18,26,Sodom,GPE
,18,27,Abraham,PERSON
,18,28,five,CARDINAL
,18,28,fifty,CARDINAL
,18,28,five,CARDINAL
,18,28,five,CARDINAL
,18,29,forty,DATE
,18,29,forty,DATE
,18,30,thirty,CARDINAL
,18,31,twenty,CARDINAL
,18,31,twenty,DATE
,18,32,ten,CARDINAL
,18,32,ten,CARDINAL
,18,33,Abraham,PERSON
,18,33,Abraham,PERSON
,19,1,two,CARDINAL
,19,1,Sodom,GPE
,19,1,Lot,PERSON
,19,1,Sodom,GPE
,19,1,Lot,PERSON
,19,2,all night,TIME
,19,2,on,PERSON
,19,2,Nay,PERSON
,19,2,all night,TIME
,19,4,Sodom,GPE
,19,5,Lot,PERSON
,19,5,this night,TIME
,19,6,Lot,PERSON
,19,7,so,PERSON
,19,8,two,CARDINAL
,19,9,Lot,PERSON
,19,10,put,PERSON
,19,10,Lot,PERSON
,19,11,so,PERSON
,19,12,Lot,PERSON
,19,14,Lot,PERSON
,19,15,Lot,PERSON
,19,15,two,CARDINAL
,19,16,two,CARDINAL
,19,18,Lot,PERSON
,19,18,so,PERSON
,19,22,Zoar,GPE
,19,23,Lot,PERSON
,19,23,Zoar,GPE
,19,24,Sodom,GPE
,19,24,Gomorrah,LOC
,19,27,Abraham gat,PERSON
,19,27,early in the morning,TIME
,19,28,Sodom,GPE
,19,28,Gomorrah,GPE
,19,29,Abraham,PERSON
,19,29,Lot,PERSON
,19,29,Lot,PERSON
